Year,Award,Movie,Nominee,Winner
2000,ACTOR IN A LEADING ROLE,American Beauty,Kevin Spacey,1
2000,ACTOR IN A LEADING ROLE,The Insider,Russell Crowe,0
2000,ACTOR IN A LEADING ROLE,The Straight Story,Richard Farnsworth,0
2000,ACTOR IN A LEADING ROLE,Sweet and Lowdown,Sean Penn,0
2000,ACTOR IN A LEADING ROLE,The Hurricane,Denzel Washington,0
2000,ACTOR IN A SUPPORTING ROLE,The Cider House Rules,Michael Caine,1
2000,ACTOR IN A SUPPORTING ROLE,Magnolia,Tom Cruise,0
2000,ACTOR IN A SUPPORTING ROLE,The Green Mile,Michael Clarke Duncan,0
2000,ACTOR IN A SUPPORTING ROLE,The Talented Mr. Ripley,Jude Law,0
2000,ACTOR IN A SUPPORTING ROLE,The Sixth Sense,Haley Joel Osment,0
2000,ACTRESS IN A LEADING ROLE,Boys Don't Cry,Hilary Swank,1
2000,ACTRESS IN A LEADING ROLE,American Beauty,Annette Bening,0
2000,ACTRESS IN A LEADING ROLE,Tumbleweeds,Janet McTeer,0
2000,ACTRESS IN A LEADING ROLE,The End of the Affair,Julianne Moore,0
2000,ACTRESS IN A LEADING ROLE,Music of the Heart,Meryl Streep,0
2000,ACTRESS IN A SUPPORTING ROLE,Girl  Interrupted,Angelina Jolie,1
2000,ACTRESS IN A SUPPORTING ROLE,The Sixth Sense,Toni Collette,0
2000,ACTRESS IN A SUPPORTING ROLE,Being John Malkovich,Catherine Keener,0
2000,ACTRESS IN A SUPPORTING ROLE,Sweet and Lowdown,Samantha Morton,0
2000,ACTRESS IN A SUPPORTING ROLE,Boys Don't Cry,Chloë Sevigny,0
2000,CINEMATOGRAPHY,Conrad L. Hall,American Beauty,1
2000,CINEMATOGRAPHY,Roger Pratt,The End of the Affair,0
2000,CINEMATOGRAPHY,Dante Spinotti,The Insider,0
2000,CINEMATOGRAPHY,Emmanuel Lubezki,Sleepy Hollow,0
2000,CINEMATOGRAPHY,Robert Richardson,Snow Falling on Cedars,0
2000,COSTUME DESIGN,Lindy Hemming,Topsy-Turvy,1
2000,COSTUME DESIGN,Jenny Beavan,Anna and the King,0
2000,COSTUME DESIGN,Colleen Atwood,Sleepy Hollow,0
2000,COSTUME DESIGN,Ann Roth  Gary Jones,The Talented Mr. Ripley,0
2000,COSTUME DESIGN,Milena Canonero,Titus,0
2000,DIRECTING,Sam Mendes,American Beauty,1
2000,DIRECTING,Spike Jonze,Being John Malkovich,0
2000,DIRECTING,Lasse Hallström,The Cider House Rules,0
2000,DIRECTING,Michael Mann,The Insider,0
2000,DIRECTING,M. Night Shyamalan,The Sixth Sense,0
2000,DOCUMENTARY (FEATURE),Arthur Cohn  Kevin Macdonald,One Day in September,1
2000,DOCUMENTARY (FEATURE),Wim Wenders  Ulrich Felsberg,Buena Vista Social Club,0
2000,DOCUMENTARY (FEATURE),Roko Belic  Adrian Belic,Genghis Blues,0
2000,DOCUMENTARY (FEATURE),Nanette Burstein  Brett Morgen,On the Ropes,0
2000,DOCUMENTARY (FEATURE),Paola di Florio  Lilibet Foster,Speaking in Strings,0
2000,DOCUMENTARY (SHORT SUBJECT),Susan Hannah Hadary  William A. Whiteford,King Gimp,1
2000,DOCUMENTARY (SHORT SUBJECT),Bert Van Bork,Eyewitness,0
2000,DOCUMENTARY (SHORT SUBJECT),Simeon Soffer  Jonathan Stack,The Wildest Show in the South: The Angola Prison Rodeo,0
2000,FILM EDITING,Zach Staenberg,The Matrix,1
2000,FILM EDITING,Tariq Anwar  Christopher Greenbury,American Beauty,0
2000,FILM EDITING,Lisa Zeno Churgin,The Cider House Rules,0
2000,FILM EDITING,William Goldenberg  Paul Rubell  David Rosenbloom,The Insider,0
2000,FILM EDITING,Andrew Mondshein,The Sixth Sense,0
2000,FOREIGN LANGUAGE FILM,Spain,All about My Mother,1
2000,FOREIGN LANGUAGE FILM,Nepal,Caravan,0
2000,FOREIGN LANGUAGE FILM,France,East-West,0
2000,FOREIGN LANGUAGE FILM,United Kingdom,Solomon and Gaenor,0
2000,FOREIGN LANGUAGE FILM,Sweden,Under the Sun,0
2000,MUSIC (ORIGINAL SCORE),John Corigliano,The Red Violin,1
2000,MUSIC (ORIGINAL SCORE),Thomas Newman,American Beauty,0
2000,MUSIC (ORIGINAL SCORE),John Williams,Angela's Ashes,0
2000,MUSIC (ORIGINAL SCORE),Rachel Portman,The Cider House Rules,0
2000,MUSIC (ORIGINAL SCORE),Gabriel Yared,The Talented Mr. Ripley,0
2000,MUSIC (ORIGINAL SONG),You'll Be In My Heart in "Tarzan" Music and Lyric by Phil Collins,Tarzan,1
